,연번,수송일자,호선,역번호,역명,승하차구분,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시이후
31010,31011,2023-02-27,1호선,150,서울역,승차,321,508,2061,3286,2282,2094,2706,2870,3020,2471,3142,3630,6192,9095,4362,3101,2985,1764,746,89
31011,31012,2023-02-27,1호선,150,서울역,하차,391,2058,4605,10257,6181,2849,2549,2851,2639,2315,2576,2762,3037,3282,2095,1408,1153,746,379,113
31554,31555,2023-02-28,1호선,150,서울역,승차,313,488,1617,2662,2187,1999,2655,3189,3193,3248,4113,4970,7739,9606,4908,3589,3277,2279,1145,130
31555,31556,2023-02-28,1호선,150,서울역,하차,258,1788,4305,9817,6050,2761,2470,2774,2943,2659,3306,3308,4183,3931,2547,2007,1496,946,600,185
32098,32099,2023-03-01,1호선,150,서울역,승차,262,235,329,754,1053,1763,2136,2667,2930,2504,3509,3810,3451,2613,2179,1896,1929,1355,605,7
32099,32100,2023-03-01,1호선,150,서울역,하차,225,935,1078,1440,2232,2282,2819,3256,2676,2419,2739,2732,2436,2100,1550,1248,1101,585,343,38
32642,32643,2023-03-02,1호선,150,서울역,승차,305,517,1753,3043,2013,1794,2046,2431,2494,2157,2873,3412,5517,8819,4092,2716,2747,1691,628,89
32643,32644,2023-03-02,1호선,150,서울역,하차,317,1866,4477,10038,5992,2400,2074,2199,2142,1999,2233,2310,2688,2986,1888,1216,1154,828,398,100
33188,33189,2023-03-03,1호선,150,서울역,승차,298,455,1636,2671,2092,1771,2210,2612,3016,2259,3584,4522,6975,9474,4700,3121,3331,2356,1043,159
33189,33190,2023-03-03,1호선,150,서울역,하차,237,1637,4143,9551,5799,2501,2124,2467,2674,2610,2689,2776,3764,4448,3259,1792,1548,1115,611,137
33732,33733,2023-03-04,1호선,150,서울역,승차,289,230,598,1271,1980,2512,2755,3451,3161,2445,3487,3544,3349,2825,2497,2127,2187,1635,698,4
33733,33734,2023-03-04,1호선,150,서울역,하차,258,1302,1688,2000,3018,2506,2595,3369,2764,2694,2604,2969,2929,2292,2033,1616,1352,1053,543,51
34276,34277,2023-03-05,1호선,150,서울역,승차,144,144,324,752,1110,1521,1803,2368,2330,1908,2720,2754,2723,2664,2514,2382,2442,1866,646,4
34277,34278,2023-03-05,1호선,150,서울역,하차,112,573,771,1038,1613,1637,1729,2143,2315,2369,2593,2558,2814,2461,2266,1975,1265,719,350,39
34820,34821,2023-03-06,1호선,150,서울역,승차,327,566,2228,3058,2376,1864,2172,2534,2408,2140,2835,3256,5814,8988,4067,2590,2446,1417,582,63
34821,34822,2023-03-06,1호선,150,서울역,하차,333,2186,4779,10385,6011,2644,2110,2276,2115,1820,2136,2053,2550,2950,1824,1175,981,670,344,94
35364,35365,2023-03-07,1호선,150,서울역,승차,306,505,1715,2873,2020,1808,2167,2326,2508,2034,2844,3465,5958,9191,4100,2640,2631,1664,685,57
35365,35366,2023-03-07,1호선,150,서울역,하차,315,1750,4569,10437,6214,2482,2114,2119,1961,1951,2039,2309,2625,3037,1792,1149,1104,830,397,113
35908,35909,2023-03-08,1호선,150,서울역,승차,328,505,1720,2771,2038,1861,2142,2430,2483,2099,2884,3636,6040,9002,3889,2667,2512,1532,669,120
35909,35910,2023-03-08,1호선,150,서울역,하차,300,1725,4323,10319,6307,2540,2051,2160,2095,1719,2236,2255,2720,3067,1682,1164,1085,778,433,126
36452,36453,2023-03-09,1호선,150,서울역,승차,322,517,1737,2941,2096,1951,2297,2575,2611,2100,3114,3730,6276,9110,4418,3044,2937,1953,814,89
36453,36454,2023-03-09,1호선,150,서울역,하차,259,1723,4367,9930,6839,2680,2079,2070,2230,1931,2350,2652,3058,3381,1937,1237,1223,891,484,128
36996,36997,2023-03-10,1호선,150,서울역,승차,338,459,1668,2634,2327,2011,2395,3053,3019,2614,3947,5124,6941,9418,4557,3220,3420,2437,1163,187
36997,36998,2023-03-10,1호선,150,서울역,하차,261,1612,4300,9353,5994,2882,2335,2998,3238,2998,2719,2981,3922,4922,3361,1901,1793,1189,609,210
