,연번,수송일자,호선,역번호,역명,승하차구분,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시이후
37540,37541,2023-03-11,1호선,150,서울역,승차,301,295,574,1387,2135,2590,3097,3654,3514,2666,3717,4064,3934,3197,2695,2385,2273,1878,795,17
37541,37542,2023-03-11,1호선,150,서울역,하차,327,1700,1651,2168,3172,2783,2986,3429,3351,3150,3103,3002,2961,2642,2210,1792,1565,1162,649,90
38084,38085,2023-03-12,1호선,150,서울역,승차,157,165,333,696,1101,1665,1878,2433,2459,1839,2650,2717,2745,2870,2482,2419,2503,1612,801,7
38085,38086,2023-03-12,1호선,150,서울역,하차,150,708,762,1103,1625,1559,1623,2263,2227,2466,2465,2330,2838,2427,2458,1857,1458,735,362,41
38628,38629,2023-03-13,1호선,150,서울역,승차,334,551,1880,3434,2284,2011,2301,2642,2657,1942,2835,3218,6025,9184,4089,2806,2629,1556,626,73
38629,38630,2023-03-13,1호선,150,서울역,하차,363,2437,4748,10028,6505,2451,2258,2400,2135,1917,2184,2141,2638,2897,1893,1245,1048,736,340,115
39172,39173,2023-03-14,1호선,150,서울역,승차,329,505,1815,2893,1899,1916,2218,2528,2431,2176,2879,3561,6189,9275,4222,2681,2790,1640,655,70
39173,39174,2023-03-14,1호선,150,서울역,하차,287,1767,4629,10470,6478,2518,2102,2219,2024,1871,2164,2247,3006,2996,1834,1207,1160,871,431,126
39716,39717,2023-03-15,1호선,150,서울역,승차,334,501,1790,2868,2108,1858,2289,2615,2659,2259,3012,3561,6249,9118,3948,2828,2609,1639,690,105
39717,39718,2023-03-15,1호선,150,서울역,하차,311,1835,4240,10418,6396,2471,2201,2181,2187,1963,2158,2295,2955,3155,1742,1241,1149,948,404,157
40260,40261,2023-03-16,1호선,150,서울역,승차,331,509,1763,2957,2108,2085,2256,2471,2582,2321,3282,3777,6312,9249,4161,3139,3267,1751,882,93
40261,40262,2023-03-16,1호선,150,서울역,하차,284,1888,4593,10328,6375,2683,2194,2161,2329,2015,2463,2523,3158,3354,2078,1336,1249,1070,525,168
40804,40805,2023-03-17,1호선,150,서울역,승차,342,464,1677,2714,2261,1942,2358,2954,3173,2525,3681,4890,7068,9207,4210,3357,3587,2827,1133,161
40805,40806,2023-03-17,1호선,150,서울역,하차,308,1908,4174,9360,5940,2655,2481,2959,3118,2772,2845,3121,3900,4676,3337,1884,1949,1249,670,173
41348,41349,2023-03-18,1호선,150,서울역,승차,284,282,588,1428,2226,2327,3547,3780,3559,2633,3748,4402,3932,3442,2962,2467,2571,1709,882,14
41349,41350,2023-03-18,1호선,150,서울역,하차,295,1759,1935,2177,3310,2691,3213,3699,3330,2824,3133,3226,3300,2763,2453,1827,1664,1149,583,76
41892,41893,2023-03-19,1호선,150,서울역,승차,178,234,384,1004,1419,1773,2267,2765,2843,2067,2983,2884,3112,2936,2924,2439,2726,2036,828,4
41893,41894,2023-03-19,1호선,150,서울역,하차,126,784,908,1256,1909,1981,2077,2390,2777,2865,2804,2746,3506,2638,2503,2186,1634,796,408,33
42436,42437,2023-03-20,1호선,150,서울역,승차,347,492,2235,3371,2415,2086,2452,2534,2648,2182,3073,3405,6038,9345,4078,2843,2624,1519,644,70
42437,42438,2023-03-20,1호선,150,서울역,하차,357,2281,4987,10272,6370,2653,2099,2269,2189,2049,2234,2244,2725,2996,1924,1245,1073,801,380,116
42980,42981,2023-03-21,1호선,150,서울역,승차,335,502,1837,3034,2044,1922,2078,2423,2592,2199,2958,3636,6054,9233,4071,2816,2726,1577,733,64
42981,42982,2023-03-21,1호선,150,서울역,하차,303,1879,4867,10503,6355,2607,2326,2154,2016,1980,2212,2295,2761,2979,1838,1260,1177,793,420,132
43524,43525,2023-03-22,1호선,150,서울역,승차,304,533,1761,2839,1983,1853,2220,2488,2647,2181,2945,3730,6282,9268,3906,2741,2657,1617,688,78
